"","lemma","n","rank","sum"
"191","-y-er",1,58066.5,191
"192","-z",1,58066.5,192
"193","-Z.",1,58066.5,193
"194","ósick!óI",1,58066.5,194
"195","!'",1,58066.5,195
"196","!!!!!!!!",1,58066.5,196
"197","!!1#$",1,58066.5,197
"198","!í",1,58066.5,198
"199","!î",1,58066.5,199
"200","!12",1,58066.5,200
"201","!20",1,58066.5,201
"202","!27",1,58066.5,202
"203","!42",1,58066.5,203
"204","!45",1,58066.5,204
"205","!63",1,58066.5,205
"206","!7",1,58066.5,206
"207","!85",1,58066.5,207
"208","#$@@.",1,58066.5,208
"209","#2",1,58066.5,209
"210","#stozek",1,58066.5,210
"211","$2200",1,58066.5,211
"212","&<U+FEFF>",1,58066.5,212
"213",")-pocher",1,58066.5,213
"214",")5",1,58066.5,214
"215","********.",1,58066.5,215
"216","****.",1,58066.5,216
"217","***.",1,58066.5,217
"218","*3",1,58066.5,218
"219","*4",1,58066.5,219
"220","*Back",1,58066.5,220
"221","*bang*",1,58066.5,221
"222","*BÈbÈ",1,58066.5,222
"223","*BÈton",1,58066.5,223
"224","*Biatch",1,58066.5,224
"225","*Bip",1,58066.5,225
"226","*Bip*.",1,58066.5,226
"227","*bip*4",1,58066.5,227
"228","*braa*",1,58066.5,228
"229","*brah*",1,58066.5,229
"230","*bruire",1,58066.5,230
"231","*bruit",1,58066.5,231
"232","*Bruit",1,58066.5,232
"233","*ce",1,58066.5,233
"234","*Chante",1,58066.5,234
"235","*Chien",1,58066.5,235
"236","*chut*",1,58066.5,236
"237","*clic-clic*",1,58066.5,237
"238","*combattent*",1,58066.5,238
"239","*coup",1,58066.5,239
"240","*crachat*",1,58066.5,240
"241","*Crachat*",1,58066.5,241
"242","*delay*}",1,58066.5,242
"243","*DÈtonation",1,58066.5,243
"244","*Dring",1,58066.5,244
"245","*eh",1,58066.5,245
"246","*fade",1,58066.5,246
"247","*fhhh*",1,58066.5,247
"248","*frapper",1,58066.5,248
"249","*il",1,58066.5,249
"250","*krkr*",1,58066.5,250
"251","*krr*",1,58066.5,251
"252","*kzzz*",1,58066.5,252
"253","*laughing*",1,58066.5,253
"254","*lu*",1,58066.5,254
"255","*Nous*",1,58066.5,255
"256","*pa",1,58066.5,256
"257","*ploc*",1,58066.5,257
